id,full_name,position,team_element
502,Manor Solomon,MID,18
503,Son Heung-min,MID,18
504,Djed Spence,DEF,18
505,Destiny Udogie,DEF,18
506,Micky van de Ven,DEF,18
507,Alejo Véliz,FWD,18
508,Guglielmo Vicario,GK,18
509,Timo Werner,MID,18
510,Alfie Whiteman,GK,18
609,Will Lankshear,FWD,18
610,Mikey Moore,MID,18
612,Wilson Odobert,MID,18
683,Callum Olusesi,MID,18
684,Malachi Hardy,DEF,18
388,Aaron Wan-Bissaka,DEF,19
511,Edson Álvarez Velázquez,MID,19
512,Michail Antonio,FWD,19
513,Alphonse Areola,GK,19
514,Jarrod Bowen,MID,19
516,Vladimír Coufal,DEF,19
517,Aaron Cresswell,DEF,19
519,George Earthy,MID,19
520,Emerson Palmieri dos Santos,DEF,19
521,Łukasz Fabiański,GK,19
522,Wes Foderingham,GK,19
523,Danny Ings,FWD,19
524,Max Kilman,DEF,19
525,Mohammed Kudus,MID,19
526,Luis Guilherme Lira dos Santos,MID,19
527,Lucas Tolentino Coelho de Lima,MID,19
528,Konstantinos Mavropanos,DEF,19
529,Nayef Aguerd,DEF,19
530,Tomáš Souček,MID,19
532,Kurt Zouma,DEF,19
576,Andy Irving,MID,19
587,Crysencio Summerville,MID,19
588,Guido Rodríguez,MID,19
589,Niclas Füllkrug,FWD,19
591,Jean-Clair Todibo,DEF,19
643,Kaelan Casey,DEF,19
654,Carlos Soler,MID,19
677,Ollie Scarles,DEF,19
204,Sam Johnstone,GK,20
533,Rayan Aït-Nouri,DEF,20
534,Boubacar Traoré,MID,20
535,Jean-Ricner Bellegarde,MID,20
536,Daniel Bentley,GK,20
537,Francisco Jorge Tomás Oliveira,MID,20
538,Tawanda Chirewa,MID,20
539,Leon Chiwome,FWD,20
540,Luke Cundle,MID,20
541,Matheus Santos Carneiro Da Cunha,FWD,20
542,Craig Dawson,DEF,20
543,Matt Doherty,DEF,20
544,Tommy Doyle,MID,20
545,Fábio Silva,FWD,20
546,Nathan Fraser,FWD,20
547,Enso González,MID,20
548,Gonçalo Manuel Ganchinho Guedes,MID,20
549,Hugo Bueno López,DEF,20
550,Hwang Hee-chan,MID,20
551,Joe Hodge,MID,20
552,Ki-Jana Hoever,DEF,20
553,João Victor Gomes da Silva,MID,20
554,José Malheiro de Sá,GK,20
555,Saša Kalajdžić,FWD,20
556,Tom King,GK,20
557,Mario Lemina,MID,20
558,Yerson Mosquera,DEF,20
559,Nélson Cabral Semedo,DEF,20
561,Pedro Cardoso de Lima,DEF,20
562,Daniel Castelo Podence,MID,20
563,Rodrigo Martins Gomes,MID,20
564,Santiago Bueno,DEF,20
565,Pablo Sarabia,MID,20
566,Jørgen Strand Larsen,FWD,20
567,Toti António Gomes,DEF,20
637,Bastien Meupiyou,DEF,20
642,André Trindade da Costa Neto,MID,20
655,Carlos Roberto Forbs Borges,MID,20
664,Alfie Pond,DEF,20
682,Tom Edozie,MID,20
